;,,,,,,,,,,,,,
TABLE HotSmlCECStd19070012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
GuestRoom320_323_SZAC CoilHtg,BaseSys1 CoilHtg-24,Furnace,BaseZnSys1-24,GuestRoom320_323 Thermal Zone,5043.112,5043.112,0,0.8,0.81,,,,
GuestRoom324_SZAC CoilHtg,BaseSys1 CoilHtg-25,Furnace,BaseZnSys1-25,GuestRoom324 Thermal Zone,5517.6,5517.6,0,0.8,0.81,,,,
GuestRoom401_SZAC CoilHtg,BaseSys1 CoilHtg-26,Furnace,BaseZnSys1-26,GuestRoom401 Thermal Zone,7431.862,7431.862,0,0.8,0.81,,,,
GuestRoom402_405_SZAC CoilHtg,BaseSys1 CoilHtg-27,Furnace,BaseZnSys1-27,GuestRoom402_405 Thermal Zone,5552.841,5552.841,0,0.8,0.81,,,,
GuestRoom406_408_SZAC CoilHtg,BaseSys1 CoilHtg-28,Furnace,BaseZnSys1-28,GuestRoom406_408 Thermal Zone,6058.787,6058.787,0,0.8,0.81,,,,
GuestRoom409_412_SZAC CoilHtg,BaseSys1 CoilHtg-29,Furnace,BaseZnSys1-29,GuestRoom409_412 Thermal Zone,5562.206,5562.206,0,0.8,0.81,,,,
GuestRoom413_SZAC CoilHtg,BaseSys1 CoilHtg-30,Furnace,BaseZnSys1-30,GuestRoom413 Thermal Zone,6277.813,6277.813,0,0.8,0.81,,,,
GuestRoom414_SZAC CoilHtg,BaseSys1 CoilHtg-31,Furnace,BaseZnSys1-31,GuestRoom414 Thermal Zone,6276.762,6276.762,0,0.8,0.81,,,,
GuestRoom415_418_SZAC CoilHtg,BaseSys1 CoilHtg-32,Furnace,BaseZnSys1-32,GuestRoom415_418 Thermal Zone,5559.512,5559.512,0,0.8,0.81,,,,
GuestRoom419_SZAC CoilHtg,BaseSys1 CoilHtg-33,Furnace,BaseZnSys1-33,GuestRoom419 Thermal Zone,6258.55,6258.55,0,0.8,0.81,,,,
GuestRoom420_423_SZAC CoilHtg,BaseSys1 CoilHtg-34,Furnace,BaseZnSys1-34,GuestRoom420_423 Thermal Zone,5498.45,5498.45,0,0.8,0.81,,,,
GuestRoom424_SZAC CoilHtg,BaseSys1 CoilHtg-35,Furnace,BaseZnSys1-35,GuestRoom424 Thermal Zone,6219.5,6219.5,0,0.8,0.81,,,,
BaseVAVReheatCoil,BaseVAVBox CoilHtg,HotWater,BaseAirSys5,CorridorFlr1 Thermal Zone,31836.4,31836.4,1.59122,-99996,-99996,,,,
BaseVAVReheatCoil-5,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys5,EmployeeLoungeFlr1 Thermal Zone,6481.287,6481.287,0.32394,-99996,-99996,,,,
BaseVAVReheatCoil-6,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys5,ExerciseCenterFlr1 Thermal Zone,6001.188,6001.188,0.29995,-99996,-99996,,,,
BaseVAVReheatCoil-7,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys5,FrontLoungeFlr1 Thermal Zone,47038.525,47038.525,2.35103,-99996,-99996,,,,
BaseVAVReheatCoil-8,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys5,FrontOfficeFlr1 Thermal Zone,20785.825,20785.825,1.0389,-99996,-99996,,,,
BaseVAVReheatCoil-9,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys5,LaundryRoomFlr1 Thermal Zone,15991.637,15991.637,0.79928,-99996,-99996,,,,
BaseVAVReheatCoil-10,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys5,MechanicalRoomFlr1 Thermal Zone,6158.387,6158.387,0.3078,-99996,-99996,,,,
BaseVAVReheatCoil-11,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys5,MeetingRoomFlr1 Thermal Zone,22192.612,22192.612,1.10921,-99996,-99996,,,,
BaseVAVReheatCoil-12,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys5,FrontStairsFlr1 Thermal Zone,5342.775,5342.775,0.26704,-99996,-99996,,,,
BaseVAVReheatCoil-16,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys5,FrontStorageFlr1 Thermal Zone,2911.175,2911.175,0.1455,-99996,-99996,,,,
BaseVAVReheatCoil-20,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys5,RearStairsFlr1 Thermal Zone,6167.475,6167.475,0.30826,-99996,-99996,,,,
BaseVAVReheatCoil-24,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys5,RearStorageFlr1 Thermal Zone,6169.375,6169.375,0.30835,-99996,-99996,,,,
BaseVAVReheatCoil-28,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys5,RestroomFlr1 Thermal Zone,5778.637,5778.637,0.28882,-99996,-99996,,,,
BaseVAVReheatCoil-2,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys5-2,CorridorFlr2 Thermal Zone,17474.925,17474.925,0.87341,-99996,-99996,,,,
BaseVAVReheatCoil-13,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys5-2,FrontStairsFlr2 Thermal Zone,3140.95,3140.95,0.15699,-99996,-99996,,,,
BaseVAVReheatCoil-17,BaseVAVBox CoilHtg-16,HotWater,BaseAirSys5-2,FrontStorageFlr2 Thermal Zone,1752.6,1752.6,0.0876,-99996,-99996,,,,
BaseVAVReheatCoil-21,BaseVAVBox CoilHtg-17,HotWater,BaseAirSys5-2,RearStairsFlr2 Thermal Zone,3829.987,3829.987,0.19143,-99996,-99996,,,,
BaseVAVReheatCoil-25,BaseVAVBox CoilHtg-18,HotWater,BaseAirSys5-2,RearStorageFlr2 Thermal Zone,3831.175,3831.175,0.19149,-99996,-99996,,,,
BaseVAVReheatCoil-3,BaseVAVBox CoilHtg-19,HotWater,BaseAirSys5-3,CorridorFlr3 Thermal Zone,18660.262,18660.262,0.93266,-99996,-99996,,,,
BaseVAVReheatCoil-14,BaseVAVBox CoilHtg-20,HotWater,BaseAirSys5-3,FrontStairsFlr3 Thermal Zone,3215.887,3215.887,0.16073,-99996,-99996,,,,
BaseVAVReheatCoil-18,BaseVAVBox CoilHtg-21,HotWater,BaseAirSys5-3,FrontStorageFlr3 Thermal Zone,1820.688,1820.688,0.091,-99996,-99996,,,,
BaseVAVReheatCoil-22,BaseVAVBox CoilHtg-22,HotWater,BaseAirSys5-3,RearStairsFlr3 Thermal Zone,3914.9,3914.9,0.19567,-99996,-99996,,,,
BaseVAVReheatCoil-26,BaseVAVBox CoilHtg-23,HotWater,BaseAirSys5-3,RearStorageFlr3 Thermal Zone,3915.537,3915.537,0.1957,-99996,-99996,,,,
BaseVAVReheatCoil-4,BaseVAVBox CoilHtg-24,HotWater,BaseAirSys5-4,CorridorFlr4 Thermal Zone,34485.075,34485.075,1.7236,-99996,-99996,,,,
BaseVAVReheatCoil-15,BaseVAVBox CoilHtg-25,HotWater,BaseAirSys5-4,FrontStairsFlr4 Thermal Zone,5782.087,5782.087,0.28899,-99996,-99996,,,,
BaseVAVReheatCoil-19,BaseVAVBox CoilHtg-26,HotWater,BaseAirSys5-4,FrontStorageFlr4 Thermal Zone,3631.475,3631.475,0.1815,-99996,-99996,,,,
BaseVAVReheatCoil-23,BaseVAVBox CoilHtg-27,HotWater,BaseAirSys5-4,RearStairsFlr4 Thermal Zone,6308.337,6308.337,0.3153,-99996,-99996,,,,
