,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,73116,0.149658967,0.149658967,0.149658967,0.149658967,0.149658967,0.765929918,0.763397093,0.765929918,0.765929918,0.765929918,0.149658967,0.149658967,0.149658967,0.765929918,0.765929918,0.765929918,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,73117,1.179515763,1.179515763,1.179515763,1.179515763,1.179515763,1.908178838,1.901868751,1.908178838,1.908178838,1.908178838,1.179515763,1.179515763,1.179515763,1.908178838,1.908178838,1.908178838,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,73118,3.299695718,3.299695718,3.299695718,3.299695718,3.299695718,4.552784284,4.537728848,4.552784284,4.552784284,4.552784284,3.299695718,3.299695718,3.299695718,4.552784284,4.552784284,4.552784284,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,73119,4.703470904,4.703470904,4.703470904,4.703470904,4.703470904,4.994956273,4.978438635,4.994956273,4.994956273,4.994956273,4.703470904,4.703470904,4.703470904,4.994956273,4.994956273,4.994956273,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,73120,4.542150059,4.542150059,4.542150059,4.542150059,4.542150059,4.962823912,4.949708904,4.962823912,4.962823912,4.962823912,4.542150059,4.542150059,4.542150059,4.962823912,4.962823912,4.962823912,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,73121,4.539474546,4.539474546,4.539474546,4.539474546,4.539474546,4.900131013,4.887181681,4.900131013,4.900131013,4.900131013,4.539474546,4.539474546,4.539474546,4.900131013,4.900131013,4.900131013,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,73122,4.410505562,4.410505562,4.410505562,4.410505562,4.410505562,4.654373449,4.629417236,4.654373449,4.654373449,4.654373449,4.410505562,4.410505562,4.410505562,4.654373449,4.654373449,4.654373449,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,73123,4.366778388,4.366778388,4.366778388,4.366778388,4.366778388,4.508335175,4.484162002,4.508335175,4.508335175,4.508335175,4.366778388,4.366778388,4.366778388,4.508335175,4.508335175,4.508335175,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,73124,4.364365996,4.364365996,4.364365996,4.364365996,4.364365996,4.431302537,4.407542404,4.431302537,4.431302537,4.431302537,4.364365996,4.364365996,4.364365996,4.431302537,4.431302537,4.431302537,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80101,4.22588847,4.22588847,4.22588847,4.22588847,4.22588847,4.304674143,4.281592977,4.304674143,4.304674143,4.304674143,4.22588847,4.22588847,4.22588847,4.304674143,4.304674143,4.304674143,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80102,4.226020158,4.226020158,4.226020158,4.226020158,4.226020158,4.304832048,4.281750035,4.304832048,4.304832048,4.304832048,4.226020158,4.226020158,4.226020158,4.304832048,4.304832048,4.304832048,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80103,4.225848526,4.225848526,4.225848526,4.225848526,4.225848526,4.305589956,4.28250388,4.305589956,4.305589956,4.305589956,4.225848526,4.225848526,4.225848526,4.305589956,4.305589956,4.305589956,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80104,4.228031071,4.228031071,4.228031071,4.228031071,4.228031071,4.285895469,4.262914992,4.285895469,4.285895469,4.285895469,4.228031071,4.228031071,4.228031071,4.285895469,4.285895469,4.285895469,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80105,4.229164431,4.229164431,4.229164431,4.229164431,4.229164431,4.302548915,4.279479144,4.302548915,4.302548915,4.302548915,4.229164431,4.229164431,4.229164431,4.302548915,4.302548915,4.302548915,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80106,4.23107283,4.23107283,4.23107283,4.23107283,4.23107283,4.313406235,4.290278249,4.313406235,4.313406235,4.313406235,4.23107283,4.23107283,4.23107283,4.313406235,4.313406235,4.313406235,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80107,3.977995575,3.977995575,3.977995575,3.977995575,3.977995575,3.839935068,3.819345779,3.839935068,3.839935068,3.839935068,3.977995575,3.977995575,3.977995575,3.839935068,3.839935068,3.839935068,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80108,1.043114603,1.043114603,1.043114603,1.043114603,1.043114603,1.127646318,1.121600008,1.127646318,1.127646318,1.127646318,1.043114603,1.043114603,1.043114603,1.127646318,1.127646318,1.127646318,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80109,0.227328591,0.227328591,0.227328591,0.227328591,0.227328591,0.211544931,0.210410651,0.211544931,0.211544931,0.211544931,0.227328591,0.227328591,0.227328591,0.211544931,0.211544931,0.211544931,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80110,0.032477361,0.032477361,0.032477361,0.032477361,0.032477361,0.095794865,0.095281224,0.095794865,0.095794865,0.095794865,0.032477361,0.032477361,0.032477361,0.095794865,0.095794865,0.095794865,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80111,0.032625972,0.032625972,0.032625972,0.032625972,0.032625972,0.09595305,0.095438561,0.09595305,0.09595305,0.09595305,0.032625972,0.032625972,0.032625972,0.09595305,0.09595305,0.09595305,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80112,0.034877491,0.034877491,0.034877491,0.034877491,0.034877491,0.093725743,0.093223196,0.093725743,0.093725743,0.093725743,0.034877491,0.034877491,0.034877491,0.093725743,0.093725743,0.093725743,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80113,0.036101946,0.036101946,0.036101946,0.036101946,0.036101946,0.100347606,0.099809553,0.100347606,0.100347606,0.100347606,0.036101946,0.036101946,0.036101946,0.100347606,0.100347606,0.100347606,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80114,0.054949389,0.054949389,0.054949389,0.054949389,0.054949389,0.127287333,0.126604833,0.127287333,0.127287333,0.127287333,0.054949389,0.054949389,0.054949389,0.127287333,0.127287333,0.127287333,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80115,0.116018708,0.116018708,0.116018708,0.116018708,0.116018708,0.199964126,0.198891941,0.199964126,0.199964126,0.199964126,0.116018708,0.116018708,0.116018708,0.199964126,0.199964126,0.199964126,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80116,0.452459961,0.452459961,0.452459961,0.452459961,0.452459961,0.603170984,0.599936851,0.603170984,0.603170984,0.603170984,0.452459961,0.452459961,0.452459961,0.603170984,0.603170984,0.603170984,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80117,1.476275282,1.476275282,1.476275282,1.476275282,1.476275282,1.927201551,1.916868119,1.927201551,1.927201551,1.927201551,1.476275282,1.476275282,1.476275282,1.927201551,1.927201551,1.927201551,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80118,2.854834088,2.854834088,2.854834088,2.854834088,2.854834088,4.559307794,4.534861312,4.559307794,4.559307794,4.559307794,2.854834088,2.854834088,2.854834088,4.559307794,4.559307794,4.559307794,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80119,4.563612381,4.563612381,4.563612381,4.563612381,4.563612381,5.234400594,5.206334342,5.234400594,5.234400594,5.234400594,4.563612381,4.563612381,4.563612381,5.234400594,5.234400594,5.234400594,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80120,4.571649187,4.571649187,4.571649187,4.571649187,4.571649187,5.164047593,5.136358566,5.164047593,5.164047593,5.164047593,4.571649187,4.571649187,4.571649187,5.164047593,5.164047593,5.164047593,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80121,4.567703185,4.567703185,4.567703185,4.567703185,4.567703185,4.912924,4.886581469,4.912924,4.912924,4.912924,4.567703185,4.567703185,4.567703185,4.912924,4.912924,4.912924,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80122,4.355876493,4.355876493,4.355876493,4.355876493,4.355876493,4.577974953,4.55342838,4.577974953,4.577974953,4.577974953,4.355876493,4.355876493,4.355876493,4.577974953,4.577974953,4.577974953,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80123,4.249261332,4.249261332,4.249261332,4.249261332,4.249261332,4.328575596,4.305366273,4.328575596,4.328575596,4.328575596,4.249261332,4.249261332,4.249261332,4.328575596,4.328575596,4.328575596,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80124,4.242446647,4.242446647,4.242446647,4.242446647,4.242446647,4.320603769,4.297437191,4.320603769,4.320603769,4.320603769,4.242446647,4.242446647,4.242446647,4.320603769,4.320603769,4.320603769,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80201,4.384781505,4.384781505,4.384781505,4.384781505,4.384781505,4.408796267,4.38515681,4.408796267,4.408796267,4.408796267,4.384781505,4.384781505,4.384781505,4.408796267,4.408796267,4.408796267,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80202,4.367878429,4.367878429,4.367878429,4.367878429,4.367878429,4.387164543,4.363641073,4.387164543,4.387164543,4.387164543,4.367878429,4.367878429,4.367878429,4.387164543,4.387164543,4.387164543,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80203,4.368365022,4.368365022,4.368365022,4.368365022,4.368365022,4.382148984,4.358652407,4.382148984,4.382148984,4.382148984,4.368365022,4.368365022,4.368365022,4.382148984,4.382148984,4.382148984,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80204,4.369497814,4.369497814,4.369497814,4.369497814,4.369497814,4.383213579,4.359711294,4.383213579,4.383213579,4.383213579,4.369497814,4.369497814,4.369497814,4.383213579,4.383213579,4.383213579,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80205,4.372481256,4.372481256,4.372481256,4.372481256,4.372481256,4.406641541,4.383013638,4.406641541,4.406641541,4.406641541,4.372481256,4.372481256,4.372481256,4.406641541,4.406641541,4.406641541,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80206,4.374344684,4.374344684,4.374344684,4.374344684,4.374344684,4.441582939,4.417767684,4.441582939,4.441582939,4.441582939,4.374344684,4.374344684,4.374344684,4.441582939,4.441582939,4.441582939,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80207,3.936719409,3.936719409,3.936719409,3.936719409,3.936719409,3.507861832,3.489053082,3.507861832,3.507861832,3.507861832,3.936719409,3.936719409,3.936719409,3.507861832,3.507861832,3.507861832,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80208,1.125838416,1.125838416,1.125838416,1.125838416,1.125838416,0.889176656,0.884408993,0.889176656,0.889176656,0.889176656,1.125838416,1.125838416,1.125838416,0.889176656,0.889176656,0.889176656,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80209,0.887067912,0.887067912,0.887067912,0.887067912,0.887067912,0.147921907,0.147128767,0.147921907,0.147921907,0.147921907,0.887067912,0.887067912,0.887067912,0.147921907,0.147921907,0.147921907,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80210,0.35825863,0.35825863,0.35825863,0.35825863,0.35825863,0.040571973,0.040354431,0.040571973,0.040571973,0.040571973,0.35825863,0.35825863,0.35825863,0.040571973,0.040571973,0.040571973,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80211,0.06371745,0.06371745,0.06371745,0.06371745,0.06371745,0.091541391,0.091050557,0.091541391,0.091541391,0.091541391,0.06371745,0.06371745,0.06371745,0.091541391,0.091541391,0.091541391,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80212,0.06493176,0.06493176,0.06493176,0.06493176,0.06493176,0.091715105,0.09122334,0.091715105,0.091715105,0.091715105,0.06493176,0.06493176,0.06493176,0.091715105,0.091715105,0.091715105,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80213,0,0,0,0,0,0.019638449,0.01953315,0.019638449,0.019638449,0.019638449,0,0,0,0.019638449,0.019638449,0.019638449,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80214,0,0,0,0,0,0.019903921,0.019797198,0.019903921,0.019903921,0.019903921,0,0,0,0.019903921,0.019903921,0.019903921,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80215,0,0,0,0,0,0.025811539,0.025673141,0.025811539,0.025811539,0.025811539,0,0,0,0.025811539,0.025811539,0.025811539,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80216,0.170642759,0.170642759,0.170642759,0.170642759,0.170642759,0.132259919,0.131550757,0.132259919,0.132259919,0.132259919,0.170642759,0.170642759,0.170642759,0.132259919,0.132259919,0.132259919,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80217,1.033573891,1.033573891,1.033573891,1.033573891,1.033573891,1.240948697,1.234294873,1.240948697,1.240948697,1.240948697,1.033573891,1.033573891,1.033573891,1.240948697,1.240948697,1.240948697,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80218,2.714499869,2.714499869,2.714499869,2.714499869,2.714499869,4.13692112,4.114739427,4.13692112,4.13692112,4.13692112,2.714499869,2.714499869,2.714499869,4.13692112,4.13692112,4.13692112,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80219,4.555645926,4.555645926,4.555645926,4.555645926,4.555645926,4.790277799,4.764592883,4.790277799,4.790277799,4.790277799,4.555645926,4.555645926,4.555645926,4.790277799,4.790277799,4.790277799,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80220,4.539424183,4.539424183,4.539424183,4.539424183,4.539424183,4.772452206,4.746862868,4.772452206,4.772452206,4.772452206,4.539424183,4.539424183,4.539424183,4.772452206,4.772452206,4.772452206,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80221,4.534028606,4.534028606,4.534028606,4.534028606,4.534028606,4.588491021,4.563888062,4.588491021,4.588491021,4.588491021,4.534028606,4.534028606,4.534028606,4.588491021,4.588491021,4.588491021,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80222,4.520233831,4.520233831,4.520233831,4.520233831,4.520233831,4.539096931,4.514758818,4.539096931,4.539096931,4.539096931,4.520233831,4.520233831,4.520233831,4.539096931,4.539096931,4.539096931,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80223,4.384165533,4.384165533,4.384165533,4.384165533,4.384165533,4.320932527,4.297764186,4.320932527,4.320932527,4.320932527,4.384165533,4.384165533,4.384165533,4.320932527,4.320932527,4.320932527,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80224,4.382747129,4.382747129,4.382747129,4.382747129,4.382747129,4.240879723,4.218140616,4.240879723,4.240879723,4.240879723,4.382747129,4.382747129,4.382747129,4.240879723,4.240879723,4.240879723,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,80301,4.461245518,4.461245518,4.461245518,4.461245518,4.461245518,4.294243094,4.271217858,4.294243094,4.294243094,4.294243094,4.461245518,4.461245518,4.461245518,4.294243094,4.294243094,4.294243094,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
