,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10116,4.136923512,4.136923512,4.136923512,4.136923512,4.136923512,1.899845152,1.894625751,1.899845152,1.899845152,1.899845152,4.136923512,4.136923512,4.136923512,1.899845152,1.899845152,1.899845152,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10117,4.300249231,4.300249231,4.300249231,4.300249231,4.300249231,3.968782351,3.957879008,3.968782351,3.968782351,3.968782351,4.300249231,4.300249231,4.300249231,3.968782351,3.968782351,3.968782351,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10118,4.30294948,4.30294948,4.30294948,4.30294948,4.30294948,4.020296469,4.009251602,4.020296469,4.020296469,4.020296469,4.30294948,4.30294948,4.30294948,4.020296469,4.020296469,4.020296469,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10119,4.302040533,4.302040533,4.302040533,4.302040533,4.302040533,4.02058443,4.009538771,4.02058443,4.02058443,4.02058443,4.302040533,4.302040533,4.302040533,4.02058443,4.02058443,4.02058443,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10120,4.300276049,4.300276049,4.300276049,4.300276049,4.300276049,4.018141258,4.007102312,4.018141258,4.018141258,4.018141258,4.300276049,4.300276049,4.300276049,4.018141258,4.018141258,4.018141258,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10121,4.300113083,4.300113083,4.300113083,4.300113083,4.300113083,4.009988974,3.998972425,4.009988974,4.009988974,4.009988974,4.300113083,4.300113083,4.300113083,4.009988974,4.009988974,4.009988974,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10122,4.274868058,4.274868058,4.274868058,4.274868058,4.274868058,3.889765106,3.879078845,3.889765106,3.889765106,3.889765106,4.274868058,4.274868058,4.274868058,3.889765106,3.889765106,3.889765106,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10123,4.090445024,4.090445024,4.090445024,4.090445024,4.090445024,3.432396243,3.4229665,3.432396243,3.432396243,3.432396243,4.090445024,4.090445024,4.090445024,3.432396243,3.432396243,3.432396243,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10124,3.937394235,3.937394235,3.937394235,3.937394235,3.937394235,3.108557199,3.100017132,3.108557199,3.108557199,3.108557199,3.937394235,3.937394235,3.937394235,3.108557199,3.108557199,3.108557199,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10201,3.702945121,3.702945121,3.702945121,3.702945121,3.702945121,2.401600064,2.395002204,2.401600064,2.401600064,2.401600064,3.702945121,3.702945121,3.702945121,2.401600064,2.401600064,2.401600064,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
